Especie;Olivo;Entreolivo;Prado
Arionidae 1;0,333333333;0,333333333;0
Planorbidae 1;0;0;0,666666667
Diplópodo 1;5;2,333333333;0
Diplópodo 2;2,333333333;0,333333333;1,666666667
Diplópodo 3;1;0;0
Diplópodo 4;0;0;0,333333333
Quilópodo 1;0,666666667;0;0
Pseudoescorpión 1;0,333333333;0;0
Ortognato 1;0;0;0,333333333
Labidognato 1;0;0;2
Labidognato 2;0,333333333;0;0
Labidognato 3;0;0,333333333;0
Ácaro 1;0,333333333;0,333333333;0
Coleóptero 1;0;0,333333333;0
Coleóptero 2;0;0;0,333333333
Coleóptero 3;0,666666667;0,333333333;0,333333333
Coleóptero 4;0,333333333;0;0,333333333
Coleóptero 5;0;0;0,333333333
Colémbolo 1;23,66666667;0,333333333;2,333333333
Colémbolo 2;0,666666667;1;1,333333333
Colémbolo 3;0,333333333;0;0,333333333
Colémbolo 4;0;0;0,666666667
Colémbolo 5;0,666666667;0;0
Colémbolo 6;0,333333333;0,333333333;0
Colémbolo 7;0;0,333333333;0
Díptero 1;0,333333333;0,333333333;0
Díptero 2;0,333333333;0;1,333333333
Díptero 3;1,666666667;0;0
Díptero 4;0;0,333333333;0
Himenóptero 1;0,333333333;12;13
Himenóptero 2;0;0;0,333333333
Himenóptero 3;0;0;0,333333333
Embióptero 1;0;0;0,666666667
Ephemeróptero 1;0;0;0,333333333
